Raw Mark,HSC Mark
99.5,100
98.5,99
97.5,98
91.5,93
90.5,92
87.5,89
100.0,100
97.0,98
95.5,96
91.0,93
91.0,92
88.0,91
87.0,90
98.0,99
88.0,92
87.5,91
84.0,89
76.5,85
90.0,94
89.0,94
86.5,92
82.5,89
77.5,87
67.0,81
48.0,70
92.5,96
85.0,91
81.5,88
80.5,88
69.0,81
29.0,60
95.0,97
71.5,80
96.0,98
89.0,93
86.0,91
83.0,89
74.0,84
83.0,89
92.0,95
80.0,86
97.0,98
97.0,98
95.0,97
66.0,78
95.0,96
94.0,96
93.0,95
90.0,94
90.0,93
86.0,90
85.0,90
76.0,85
77.0,83
72.0,82
64.0,75
94.0,96
92.0,95
89.0,93
85.0,91
79.0,86
78.0,85
73.0,80
92.0,95
90.0,93
90.0,93
89.0,94
