Raw Mark,HSC Mark
98,99
93.5,96
93,95
90.5,93
90,93
88,91
84,88
81,87
79,86
78,85
70,80
64,78
96.5,98
95,96
93,96
93,95
92.5,95
89,92
88,91
87,90
86.5,92
86.5,91
85,89
84.5,89
81,87
80.5,87
79,86
77.5,85
93.5,96
93,95
92,95
89,93
86.5,91
82.5,89
81.5,88
80,87
67,80
71,82
93,96
89.5,94
89,93
88.5,93
86,91
83.5,90
83,89
80,88
68,81
65,79
49,70
93,96
91,94
81.5,89
68.5,82
65,80
55,74
47,70
94.5,97
93,96
85,91
82.5,89
79.5,87
73,83
93,96
92,95
91,94
90,94
86.5,92
82.5,89
71.5,83
70,81
68.5,81
63.5,78
58.5,75
