Raw Mark,HSC Mark
88.57,96
84.28,94
80.00,92
64.29,82
60.00,78
84.23,94
82.86,93
81.43,93
87.14,96
81.43,93
68.57,84
67.14,84
67.14,83
80.00,94
78.57,94
74.29,93
65.71,90
64.29,90
57.14,82
55.71,80
48.57,74
45.71,70
44.29,69
42.86,68
40,66
32.86,60
24.29,54
22.86,52
22.86,52
18.57,46
15.71,40
12.86,32
85.7,96
84.3,96
82.9,95
75.7,93
64.3,90
52.9,78
45.7,70
97.1,99
95.7,98
94.3,98
78.6,94
77.1,93
67.1,90
97.1,99
78.6,93
72.9,91
61.4,82
55.7,76
50,70
91.4,96
81.4,92
74,90
87,95
70,90
56,81
99,99
93,97
76,90
61,80
