Raw Mark,HSC Mark
96,98
95,98
89,96
88,95
86,94
84,94
81,92
72,88
64,83
94,98
91,96
88,95
85,94
84,94
83,93
82,93
81,92
80,92
79,92
76,90
67,85
34,65
97,99
96,98
95,98
93,97
91,96
81,91
79,90
75,88
73,87
74,87
65,83
62,81
61,81
60,80
59,79
58,79
57,78
55,77
54,77
53,76
52,76
48,74
49,74
46,73
44,72
43,71
40,69
39,69
37,68
35,67
36,67
32,65
31,65
29,64
30,64
28,63
23,61
24,61
22,60
21,59
20,58
19,58
17,56
14,53
12,52
9,45
82,92
79,90
63,81
40,70
22,61
98,99
97,99
86,95
82,93
74,90
73,89
70,88
57,80
19,60
8,40
99,99
95,97
91,95
81,89
74,86
64,80
60,78
96,98
92,96
86,93
85,93
84,92
80,90
55,75
95,96
85,93
83,92
82,91
81,91
79,89
78,87
67,81
63,79
97,97
86,90
84,89
81,87
72,83
69,80
